DISPANCESLR, INCLINOMETERYMAX, INCLINOMETERYZC, GROUNDSPEED, DEPTH, INCLINOMETERXZC, MEPOWER, METORQUE, INCLINOMETERXMAX, TRANSVERSEGROUNDSPEED, WINDANGLE, WINDSPEED, MEFOFLOW, DEPTHOFFSET, INCLINOMETERYMIN, COMMANDEDRUDDERANGLE, VESSELHEAD, LATITUDE, MERPM, RUDDERANGLE, SPEEDKNOTS, LONGTITUDE, INCLINOMETERXMIN, GEFOTOTALVOLUME, GEFOFLOW, WATERSPEED, TRACKDEGREES, MEFOTOTALVOLUME, TOTALACCUMULATEDDISTANCE, TIMESTAMP
69570.22,0,13.98,-0.63,95.18,20.7,-0.16,0,6478.95,0.74,-207.36,0.66,24,3267.81,0.6,0,225.25,-1.18,51.84,0.14,13.91,12642.04,5.2,5589.4,-0.36,13.63,229.5,2412.2,69062.6,1/13/2013 1:02
69571.41,0,13.85,-0.56,98.2,21.03,-0.16,0,6654.52,0.93,-222.87,1.93,26,3266.55,0.13,0,225.3,-1.19,51.97,-0.33,13.95,12640.26,5.4,5616.2,-0.35,13.57,229.71,2425,69063.8,1/13/2013 1:07
-0.57,0,69572.53,13.9,-0.16,0,98.72,6531.65,21.04,1.23,26,1.08,-240.63,3265.32,-1.16,0.16,0,225.12,-0.31,14.01,51.82,12638.47,-0.36,5.2,5642.4,13.66,230.83,69064.89,2437.8,1/13/2013 1:12
13.85,-0.6,0,69573.64,-0.16,0,97.12,6610.93,20.15,0.98,24,1.26,-276.75,3264.1,-1.1,0.43,0,224.8,0,13.9,51.78,12636.64,-0.34,5.2,5668.6,13.76,231.14,69066.02,2450.2,1/13/2013 1:17
13.74,-0.66,0,69574.84,-0.17,0,91.26,6559.1,21,0.95,26,1.3,-217.63,3262.85,-1.12,1.1,0,224.6,0.53,51.87,13.88,12634.78,-0.34,5.2,5694.6,13.63,230.29,69067.22,2462.8,1/13/2013 1:22
13.76,-0.62,0,69576.03,-0.16,0,94.8,6643.3,20.91,0.7,26,1.12,-171.88,3261.61,-1.2,1.07,0,224.97,51.89,0.7,13.83,12632.95,-0.35,5.2,5720.8,13.63,230.29,69068.42,2475.8,1/13/2013 1:27
13.73,-0.63,0,69577.14,-0.15,0,95.66,6678.47,21.01,0.87,1.03,24,-258.49,3260.38,-1.15,0,0.56,224.98,51.93,0.26,13.81,12631.22,-0.36,5.2,5746.8,13.47,228.83,69069.54,2488.2,1/13/2013 1:32
13.93,-0.57,0,69578.25,-0.16,0,92.94,6748.61,21.07,0.67,0.5,26,-228.82,3259.15,-1.17,0,225.41,0.2,51.93,-0.37,13.98,12629.52,-0.36,5.2,5772.8,13.63,229.14,69070.62,2501,1/13/2013 1:37
13.83,-0.54,0,69579.35,-0.17,0,91.5,6518.49,21.03,0.79,0.39,26,-210.24,3257.92,-1.19,0.36,0,225.03,51.9,-0.06,13.9,12627.79,-0.35,5.4,5799.2,13.71,229,69071.75,2513.8,1/13/2013 1:42
13.89,-0.57,0,69580.48,-0.15,0,92.4,6659.21,21.49,0.9,0.36,26,-157.39,3256.65,-1.15,0.16,0,225.23,51.93,-0.31,13.9,12626.03,-0.36,5,5825,13.61,229.5,69072.86,2526.4,1/13/2013 1:47
13.91,-0.47,69581.68,0,0,-0.16,91,6880.5,20.21,0.95,0.75,26,-187.58,3255.39,-1.12,3.62,0,228.54,51.89,-0.32,13.93,12624.25,-0.35,5.4,5851.2,13.67,231,69074.05,2539.4,1/13/2013 1:52
13.98,-0.41,69582.78,0,0,-0.16,90.15,6674.76,20.91,0.84,2.46,24,-114.04,3254.38,-1.17,1.23,0,239.3,52.03,-1.14,14.03,12622.31,-0.34,5,5877,13.59,243,69075.18,2552.2,1/13/2013 1:57
14,-0.5,69583.9,0,0,-0.15,88.72,20.66,6558.41,0.87,-122.86,2.34,26,3253.49,-1.19,0.17,0,238.87,51.99,-0.43,14.04,12620.22,-0.36,5.4,5903.2,13.6,242.83,69076.26,2565.2,1/13/2013 2:02
14.07,-0.53,69585.09,0,0,-0.15,89.72,20.84,6492.74,0.85,-82.88,1.32,26,3252.6,-1.18,237.56,0.97,0,51.95,-0.85,14.08,12618.13,-0.36,5.2,5929.4,13.58,242.43,69077.47,2577.8,1/13/2013 2:07
69586.21,13.99,-0.53,0,88.78,-0.15,0,6530.08,20.68,-89.24,0.86,0.79,24,3251.64,231.85,0.5,0,-1.32,13.86,-0.16,51.94,12616.13,5.2,5955.4,-0.36,13.54,237.17,2590.2,69078.58,1/13/2013 2:12
69587.29,13.68,-0.59,0,88.18,-0.17,0,6544.06,20.95,-81.22,0.99,0.67,26,3250.51,224.86,1.03,0,-1.27,13.67,0.68,51.9,12614.29,5.2,5981.4,-0.35,13.53,230.43,2602.8,69079.68,1/13/2013 2:17
69588.41,13.6,-0.55,0,88.1,-0.15,0,6590.88,21.24,-159.94,1.02,1.69,26,3249.27,0.26,224.79,0,-1.13,13.7,-0.27,51.97,12612.55,5.4,6008.2,-0.35,13.6,229.57,2615.8,69080.8,1/13/2013 2:22
69589.53,13.61,-0.55,0,87.32,-0.16,0,6630.24,20.24,-192.39,0.96,0.46,24,3248.06,0.31,224.82,0,-1.21,13.7,-0.1,51.86,12610.85,5.6,6035.8,-0.35,13.61,229.5,2628.2,69081.89,1/13/2013 2:27
69590.71,13.69,-0.59,0,86.41,-0.16,0,6557.21,20.37,-54.97,0.96,0.62,26,3246.85,0.3,224.89,0,-1.16,13.7,-0.17,51.9,12609.16,5.4,6063.2,-0.36,13.69,229.43,2641,69083.11,1/13/2013 2:32
69591.93,13.64,-0.57,0,85.56,-0.15,0,6531.17,20.29,-198.01,0.95,0.65,26,3245.45,1.15,222.41,0,-1.23,13.56,-0.41,51.9,12607.22,5.4,6090.2,-0.36,13.63,227.71,2653.4,69084.29,1/13/2013 2:37
69593.1,13.53,-0.54,0,0,6671.26,20.84,84.61,-0.13,-250.93,1.04,24,1.1,3244.13,0.5,221.71,0,-1.19,13.5,0.2,51.91,12605.56,5.2,6116.6,-0.37,13.63,226.57,2666.2,69085.5,1/13/2013 2:42
69594.23,13.6,-0.61,0,0,6623.34,83.3,-0.15,20.97,-187.87,1,26,0.4,3242.9,0.7,220.49,0,-1.24,13.44,0.24,51.91,12604.01,5.2,6142.8,-0.36,13.62,225.57,2678.8,69086.61,1/13/2013 2:47
69595.35,13.37,-0.56,0,20.58,0,6725.62,82.44,-0.15,0.9,24,-137.76,0.56,3241.56,0.5,217.97,0,-1.22,13.33,0.27,52,12602.45,6169.2,5.4,-0.35,13.58,222.5,2691.2,69087.72,1/13/2013 2:52
69596.52,13.38,-0.58,0,20.87,0,6702.44,81.12,-0.15,0.95,26,-197.92,0.33,3240.18,0.53,0,218.01,-1.19,13.4,0.27,51.96,12600.94,6195.6,-0.36,5.2,13.67,223,2704.2,69088.91,1/13/2013 2:57
69597.64,13.34,-0.61,0,20.68,0,6512.06,80.88,-0.15,0.95,1.17,26,-227.09,3238.82,0.96,0,216.21,-1.2,0.63,13.3,51.95,12599.44,6222,-0.36,5.4,13.63,221.57,2716.8,69090.02,1/13/2013 3:02
-0.59,0,69598.77,13.24,20.81,-0.15,6710.26,79.32,0,-225.24,0.99,1.04,24,3237.41,0,-1.17,0.51,214.85,0.16,13.2,51.84,12598,5.2,6248.4,-0.36,13.65,220,69091.14,2729.2,1/13/2013 3:07
-0.5,0,69599.95,13.22,78.7,-0.14,6746.31,21.41,0,-130.35,0.89,0.6,26,3236,0,-1.19,0.7,217.71,13.17,51.91,0.17,12596.58,5.2,6274.6,-0.37,221.14,13.65,69092.33,2741.8,1/13/2013 3:12
-0.4,69601.07,13.36,0,78.12,-0.15,6655.17,21.33,0,-193.2,0.81,0.4,26,3234.74,0,-1.15,0.7,228.07,13.4,51.96,-0.31,12594.98,5.2,6300.6,-0.36,231.71,13.6,69093.45,2754.8,1/13/2013 3:17
-0.54,69602.11,13.38,0,77.39,-0.16,6527.02,21.04,0,-146.24,0.84,0.98,25,3233.67,0,-1.18,0.28,227.5,13.32,51.92,-0.12,12593.32,5.25,6324.25,-0.35,232,13.65,69094.48,2766.25,1/13/2013 3:22
